"eventID","fieldNumber"
"aebf231b-a282-4a7f-8a5f-4cc1fc1b42d5","NTNU-VM_HK_2019_NVE:vatnLnr:41539"
"31a45618-9b22-46d5-a17f-86a5385250a7","NTNU-VM_HK_2019_NVE:vatnLnr:915"
"af434ee3-11db-4ca2-809c-042199134e4e","NTNU-VM_HK_2019_NVE:vatnLnr:930"
"c602fc83-bc6c-45f8-84d8-83432c9cb99f","NTNU-VM_HK_2019_NVE:vatnLnr:937"
"518105f7-f02b-4408-b5d6-a3caae4fe343","NTNU-VM_HK_2019_NVE:vatnLnr:932"
"34b14ce3-2ab5-4622-a388-240670529228","NTNU-VM_HK_2019_NVE:vatnLnr:931"
"cbbbd25d-abc6-4818-b242-949a42c113ac","NTNU-VM_HK_2019_NVE:vatnLnr:38173"
"18f7fb81-3f23-441d-b748-81bcba6fe49b","NTNU-VM_HK_2019_NVE:vatnLnr:38205"
"10cf4944-1862-4cdf-9d7f-9f5edd98e8aa","NTNU-VM_HK_2019_NVE:vatnLnr:38222"
"b546e12c-cfdf-44c1-9ac1-30490d05174b","NTNU-VM_HK_2019_NVE:vatnLnr:923"
"3c16c196-d058-44c6-ba66-9c4d6fbf2ee3","NTNU-VM_HK_2019_NVE:vatnLnr:921"
"e7b677a7-4666-438e-9ffc-ea851c3ce8fa","NTNU-VM_HK_2019_NVE:vatnLnr:38196"
"07a9aed2-94b0-4570-abbc-6fa4e63fed84","NTNU-VM_HK_2019_NVE:vatnLnr:942"
"29e8e326-3f13-4a28-8e14-dbee0632f092","NTNU-VM_HK_2019_NVE:vatnLnr:902"
"576038d8-e2a2-4e76-9e4f-d71f59d36c5d","NTNU-VM_HK_2019_NVE:vatnLnr:34881"
"c134c9aa-dddb-4974-9f03-c6d31b14ac29","NTNU-VM_HK_2019_NVE:vatnLnr:893"
"7033707f-f55a-48c7-ac91-fbd9f62e0f09","NTNU-VM_HK_2019_NVE:vatnLnr:899"
"5b7390b0-fc79-44df-a959-8713225688a6","NTNU-VM_HK_2019_NVE:vatnLnr:892"
"d800b0d7-7b66-44fd-b41e-6408b39ac78a","NTNU-VM_HK_2019_NVE:vatnLnr:37834"
"c3e845c6-e488-4bbb-a851-f2fd2f5d3123","NTNU-VM_HK_2019_NVE:vatnLnr:176"
"1327ac7c-2bfb-4ee2-9960-927c48fbeb3a","NTNU-VM_HK_2019_NVE:vatnLnr:175"
